URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=20928682,1966 Miami Hurricanes Football Team,77950305-8949-4781-8818-a0d78a423fd6,1966 Miami Hurricanes football team,100.0,32.0,79
http://en.wikipedia.org/?curid=2383181,List of governors of Tamil Nadu - Tamil Nadu,9ce973fb-0060-469a-b3a2-44f0e59912a2,List of governors of Tamil Nadu,83.0,24.0,65
http://en.wikipedia.org/?curid=54964518,Bindki (Assembly constituency) - Member of Legislative Assembly,4bb98db9-5e37-4144-b93a-1631e8ae3bdd,Bindki Assembly constituency,62.0,35.0,53
http://en.wikipedia.org/?curid=75763,List of Canadian provinces and territories by area - Total area,bfc51825-02a0-4593-95ed-674773289cda,Provinces and territories of Canada,61.0,32.0,52
http://en.wikipedia.org/?curid=16763320,2000 Tennis Masters Series,7d055df5-d7cc-4faf-9403-7b106f802b3f,2000 Tennis Masters Series,100.0,15.0,74
http://en.wikipedia.org/?curid=16406736,Mid - American Collegiate Hockey Association,6efe0daa-bca0-413b-915b-50ef87f3c6f9,Mid-American Collegiate Hockey Association,98.0,32.0,78
http://en.wikipedia.org/?curid=639283,List of rulers of Galicia and Volhynia - Rurik Dynasty,1f4f32d4-c26f-4ea1-98ad-89222c4c5b04,Kingdom of Galicia–Volhynia,52.0,0.0,36
http://en.wikipedia.org/?curid=26723954,Skal Vi Danse? (Season 6),0f872f6a-c7a8-4edb-b5fe-831b749b14df,Skal vi danse?,72.0,27.0,58
http://en.wikipedia.org/?curid=29381663,Eureka Stadium - Attendance records,42e076a6-5f1a-4376-b306-1fd2c20adff6,Eureka Stadium,57.0,35.0,50
http://en.wikipedia.org/?curid=22757822,Wind farm - Offshore,7cd0598c-9110-4b92-89de-ebd9fead1c28,Offshore wind power,41.0,24.0,35
http://en.wikipedia.org/?curid=29545336,Skins (North American Tv Series),765ee3a0-c7d8-47fb-a3d5-d1eab379ece1,Skins (American TV series),90.0,1.0,63
http://en.wikipedia.org/?curid=9226526,Speedway Grand Prix of Denmark - Winners,54101cd5-f4e6-438f-991f-65883eb44af6,Speedway Grand Prix of Denmark,86.0,0.0,60
http://en.wikipedia.org/?curid=42299500,List of American Horror Story episodes - Season 4: Freak Show (2014–15),1682f4e6-44e5-44be-b893-150d0fcd83e0,American Horror Story: Freak Show,63.0,18.0,49
http://en.wikipedia.org/?curid=16763320,2000 Tennis Masters Series,7d055df5-d7cc-4faf-9403-7b106f802b3f,2000 Tennis Masters Series,100.0,15.0,74
http://en.wikipedia.org/?curid=683465,List of former Jesuit secondary schools in the United States - ,d0797210-9bf5-42a7-a36a-540b205adaa3,List of Jesuit secondary schools in the United States,91.0,0.0,63
http://en.wikipedia.org/?curid=31468646,List of scandals in India - Notable scandals,6de9f2be-f106-447e-88a3-dc3c523bcf4a,List of scandals in India,72.0,0.0,50
http://en.wikipedia.org/?curid=17334827,2008 In Paraguayan Football,ebddf46f-dd1c-4d69-9253-570989f8a9bd,2008 in Paraguayan football,100.0,22.0,76
http://en.wikipedia.org/?curid=60425009,List of American Dad! episodes - Season 16 (2019),a3a6b5d9-5227-4011-b43d-1775c68a9631,American Dad! season 16,64.0,6.0,46
http://en.wikipedia.org/?curid=1627384,Carlos Andino,3114f927-b7e6-4c50-b730-247f24d20f00,Tiburcio Carías Andino - WikipediaWikipedia,39.0,3.0,28
http://en.wikipedia.org/?curid=174491,Nordic Skiing,74bebba1-2a15-4866-b452-61d6e4453736,Nordic skiing,100.0,0.0,70
http://en.wikipedia.org/?curid=7577577,List of best-selling singles - 7–7.9 million copies,73787daa-df27-44a4-8812-ba5cd7127c5f,List of best-selling singles,71.0,18.0,55
http://en.wikipedia.org/?curid=683465,List of former Jesuit secondary schools in the United States - ,d792e668-f05a-438d-bb9f-f1300031a91d,List of Jesuit secondary schools in the United States,91.0,0.0,63
http://en.wikipedia.org/?curid=568661,The Adventures of Rin Tin Tin - Season 5,d05eff02-d897-40c4-9386-35dc61e58f86,The Adventures of Rin-Tin-Tin,78.0,14.0,58
http://en.wikipedia.org/?curid=14101606,Wind power in the Republic of Ireland - 5 largest onshore wind farms,c33afd39-c900-4feb-81f7-d823900270f4,Wind power in Ireland,47.0,8.0,35
http://en.wikipedia.org/?curid=3843739,Sports in Florida - Stadiums and arenas,d844ee5b-3e85-47a9-b7cc-0cfd464c1e7f,Category:Sports venues in Florida,47.0,0.0,32
http://en.wikipedia.org/?curid=40381370,Shaw Charity Classic - Winners,611b4f12-7645-4965-bbf1-8da7f5aab649,Rogers Charity Classic,65.0,1.0,45
http://en.wikipedia.org/?curid=7577577,List of best-selling singles - 5–5.9 million copies,db4c0c6c-e1bd-4b5c-b2af-bb27edebd164,List of best-selling singles,71.0,11.0,52
http://en.wikipedia.org/?curid=20928682,1966 Miami Hurricanes Football Team,77950305-8949-4781-8818-a0d78a423fd6,1966 Miami Hurricanes football team,100.0,32.0,79
http://en.wikipedia.org/?curid=46289622,Abc Amsterdam,755f821f-e75f-450f-8a11-34b6c36c65f1,Amsterdam Basketball,55.0,25.0,46
http://en.wikipedia.org/?curid=11570929,Maritime Company Of Lesvos,1e6af0ed-1b3c-493f-9b59-65142bfe6053,Maritime Company of Lesvos,100.0,0.0,70
